start	end	text
0	2380	6. A Nights Unguarded
30000	45000	当晚六点下班,换掉要穿的衣裳。
45000	65000	其次在澳洲,我去喝几瓶啤酒。
65000	75000	如此生活三十年,直到大厦崩塌。
75000	104000	远藏身处的黑暗啊,淹没心底的牵挂。
104000	118000	在芭蕉柜台,疯狂的人民商场。
118000	127000	用一张假钞,买一把假枪。
127000	137000	包围他的生活,直到大厦崩塌。
137000	166000	夜幕覆盖花北平原,忧伤尽头他的脸。
166000	180000	河北市大扑中,青唐少年被向往。
180000	189000	沉默的宿舍,无法离开的教室。
189000	199000	生活在经验里,直到大厦崩塌。
199000	219000	遗忘记多想着吗,在他脑海中的他呀。
229000	249000	如此生活三十年,直到大厦崩塌。
249000	261000	如此生活三十年,直到大厦崩塌。
261000	272000	遗忘记多想着吗,在他脑海中的他呀。
272000	282000	如此生活三十年,直到大厦崩塌。
282000	292000	愿生生不曾遇遇遥远,悬浮进你的心瓣。
292000	302000	愿生生不曾遇遥远,悬浮进你的心瓣。
302000	312000	愿生生不曾遇遥远,悬浮进你的心瓣。
312000	322000	愿生生不曾遇遥远,悬浮进你的心瓣。
322000	332000	愿生生不曾遇遥远,悬浮进你的心瓣。
332000	342000	愿生生不曾遇遥远,悬浮进你的心瓣。
